phase,phase_time_label,phase_name_ar,component,red_action,red_why,blue_action,blue_why,combined_effect,red_inventory,red_cum_losses,blue_inventory,blue_cum_losses,red_ammo,blue_ammo
4,D-1,تطهير حقول الألغام البحرية,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,Strategic missiles are more effective when used in a concentrated salvo to overwhelm Blue defenses at a critical moment. [refs: AJP-3.1 Ed B],B-d0-99-000: Held position — preserving strategic strike capability for Red culmination per ADP 3-0.,Strategic assets are held in reserve to maximize impact during Red's culmination phase. [refs: ADP 3-0 reserve commitment at culmination],"Red's minesweeping operations faced significant attrition under Blue's coastal artillery fire, with two minesweepers lost. Blue's reinforcement of minefields further delayed Red's clearance efforts. Red's EW operations partially disrupted Blue's C2, but Blue's countermeasures maintained overall defensive coordination. The mine clearance rate was severely impacted, paralleling Wonsan 1950's high minesweeper attrition under fire.","strategic 1/1, naval 17/18, air 21/21, ground 40/40, sof 4/4",16,"naval 6/6, air 19/19, ground 64/64",18,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
4,D-1,تطهير حقول الألغام البحرية,maritime,R-d3-2-035: Deploy minesweepers to begin clearing sea mines along the designated amphibious approach routes.,"Mine clearance is critical to ensure the safe passage of landing forces and prevent delays in the operation. [refs: WarReferences.md, Doctrines.md]",B-d1-4-035: Deploy coastal radars to monitor and target Red minesweepers.,"Ensure mines are covered by observation and fire to disrupt Red's clearance operations. [refs: FM 3-90's obstacle employment, Wonsan 1950 baseline]",,"strategic 1/1, naval 17/18, air 21/21, ground 40/40, sof 4/4",16,"naval 6/6, air 19/19, ground 64/64",18,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
4,D-1,تطهير حقول الألغام البحرية,air,R-d3-11-049: Held in reserve — preserving fighter AD for later phases when Blue's air defenses are more attrited.,Conserving air assets for a decisive air superiority push during the main assault. [refs: ATP 3-01.8],B-d2-3-048: Held position — preserving fighter AD for later phases when Red's air force engages.,Maintain air defense readiness for future Red air operations. [refs: ATP 3-01.8 economy of force],,"strategic 1/1, naval 17/18, air 21/21, ground 40/40, sof 4/4",16,"naval 6/6, air 19/19, ground 64/64",18,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
4,D-1,تطهير حقول الألغام البحرية,mines,R-d3-2-035: Deploy minesweepers to clear sea mines at a rate of 50 mines per day per sweeper.,"Clearing mines is essential to secure the approach for the amphibious assault. [refs: Doctrines.md, WarReferences.md]",B-d1-3-036: Deploy mine layers to reinforce minefields in response to Red's clearance efforts.,"Increase mine density to delay Red's clearance operations and protect coastal approaches. [refs: FM 3-90's counter-mobility, Wonsan 1950 baseline]",,"strategic 1/1, naval 17/18, air 21/21, ground 40/40, sof 4/4",16,"naval 6/6, air 19/19, ground 64/64",18,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
4,D-1,تطهير حقول الألغام البحرية,ew,R-d3-405-014: Continue electronic warfare operations to disrupt Blue's C2 and reduce their ability to coordinate defenses.,"Persistent EW is necessary to degrade Blue's command and control, facilitating mine clearance and reducing risk to Red forces. [refs: FM 3-09 §3-15, AJP-3.1 Ed B]",B-d1-505-022: Conduct electronic countermeasures to disrupt Red's EW operations.,Reduce the effectiveness of Red's EW efforts to maintain Blue's C2 capabilities. [refs: FM 3-90's C2 protection],,"strategic 1/1, naval 17/18, air 21/21, ground 40/40, sof 4/4",16,"naval 6/6, air 19/19, ground 64/64",18,"magazines=384, airframes=217, hulls=402","magazines=240, airframes=162, hulls=8"
5,D-H,الضربة المركزة متعددة الاتجاهات + الإنزال,strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,"To ensure maximum impact during a critical phase, maintaining magazine depth for decisive engagement. [refs: WarReferences.md]",,,"Red's multi-domain assault faced significant challenges. Blue's corvettes successfully interdicted Red's mine sweepers, maintaining the integrity of the minefield and delaying Red's landing. Blue's F-16s contested air superiority, resulting in the loss of several Red MiG-29s. Red's explosive UAVs and USVs were largely intercepted by Blue's UAVs, preserving Blue's defensive capabilities. Red's EW efforts were countered effectively, maintaining Blue's C2 integrity.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",21,"naval 6/6, air 19/19, ground 64/64",21,"magazines=384, airframes=211, hulls=402","magazines=240, airframes=159, hulls=8"
5,D-H,الضربة المركزة متعددة الاتجاهات + الإنزال,maritime,"R-d3-60-028: Deploy 60 medium landing ships to approach the coastline, supporting the amphibious assault.",To mass at the decisive point and ensure operational tempo by landing ground forces swiftly. [refs: WarReferences.md],B-d1-8-031: Deploy corvettes to interdict Red's mine sweepers and protect remaining sea mines.,"Protecting the minefield is crucial to delaying Red's amphibious landing. By targeting MCM operations, we maintain the integrity of our defensive minefield, a key component of our coastal defense strategy. [refs: WarReferences.md - Sea mines as campaign-decisive weapon, Doctrines.md - Coastal defense uses CDCM, coastal artillery, surveillance, and naval forces in concert.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",21,"naval 6/6, air 19/19, ground 64/64",21,"magazines=384, airframes=211, hulls=402","magazines=240, airframes=159, hulls=8"
5,D-H,الضربة المركزة متعددة الاتجاهات + الإنزال,air,R-d3-11-049: Launch MiG-29 squadron to establish air superiority and protect the landing operation.,To ensure air dominance and protect the amphibious forces from Blue's air threats. [refs: WarReferences.md],B-d2-3-048: Launch F-16 squadron to contest air superiority against Red's MiG-29s.,"Maintaining air superiority is critical to protect our forces and infrastructure from Red's air operations. Engaging Red's air assets directly reduces their ability to support the amphibious assault. [refs: ATP 3-01.8 Combined Arms for Air Defense, Doctrines.md - Joint multi-service tactics for suppressing enemy SAM and AAA systems.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",21,"naval 6/6, air 19/19, ground 64/64",21,"magazines=384, airframes=211, hulls=402","magazines=240, airframes=159, hulls=8"
5,D-H,الضربة المركزة متعددة الاتجاهات + الإنزال,mines,R-d3-2-045: Deploy mine sweepers to clear paths through remaining sea mines for landing ships.,To ensure safe passage for amphibious forces and maintain operational tempo. [refs: WarReferences.md],B-d1-3-036: Deploy mine layers to reinforce existing minefields and complicate Red's MCM efforts.,"Reinforcing minefields increases the difficulty and time required for Red's MCM operations, maintaining our defensive posture and delaying Red's landing. [refs: WarReferences.md - Sea mines as campaign-decisive weapon]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",21,"naval 6/6, air 19/19, ground 64/64",21,"magazines=384, airframes=211, hulls=402","magazines=240, airframes=159, hulls=8"
5,D-H,الضربة المركزة متعددة الاتجاهات + الإنزال,usv_uav,R-d3-16-063: Launch explosive UAVs in a coordinated wave with USVs to saturate Blue's defenses.,To overwhelm Blue's intercept capacity and deplete their defensive resources. [refs: WarReferences.md],B-d2-12-050: Launch UAVs to intercept and neutralize Red's explosive UAVs and USVs.,"Countering Red's multi-vector strike is essential to preserve our defensive capabilities and prevent saturation of our defenses. [refs: Doctrines.md - C-UAS defeats Group 1-5 UAS through detect, identify, decide, defeat, WarReferences.md - Saturation rule for multi-vector strikes]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",21,"naval 6/6, air 19/19, ground 64/64",21,"magazines=384, airframes=211, hulls=402","magazines=240, airframes=159, hulls=8"
5,D-H,الضربة المركزة متعددة الاتجاهات + الإنزال,sof,R-d1-21-073: Conduct vertical envelopment to disrupt Blue's rear-area C2.,"To exploit gaps and disrupt Blue's command and control, aligning with operational tempo doctrine. [refs: WarReferences.md]",,,,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",21,"naval 6/6, air 19/19, ground 64/64",21,"magazines=384, airframes=211, hulls=402","magazines=240, airframes=159, hulls=8"
5,D-H,الضربة المركزة متعددة الاتجاهات + الإنزال,land,R-d3-41-005: Land and advance towards OBJ-X to establish a foothold.,To mass at the decisive point and exploit operational momentum. [refs: WarReferences.md],B-d1-51-001: Hold position — preserving reserve combat power for Red culmination per ADP 3-0.,"Engaging prematurely could expose our forces to unnecessary risk. Holding allows us to engage Red at their culmination point, maximizing our defensive advantage. [refs: ADP 3-0 Unified Land Operations, FM 3-90 Tactics]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",21,"naval 6/6, air 19/19, ground 64/64",21,"magazines=384, airframes=211, hulls=402","magazines=240, airframes=159, hulls=8"
5,D-H,الضربة المركزة متعددة الاتجاهات + الإنزال,ew,R-d3-405-014: Continue EW operations to jam Blue's C2 systems.,To maintain pressure on Blue's communications and disrupt their coordination. [refs: WarReferences.md],B-d1-505-022: Conduct counter-EW operations to disrupt Red's jamming efforts.,Maintaining C2 integrity is critical for effective coordination and response to Red's actions. Counter-EW operations help preserve our communication capabilities. [refs: Doctrines.md - Joint multi-service tactics for suppressing enemy SAM and AAA systems],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",21,"naval 6/6, air 19/19, ground 64/64",21,"magazines=384, airframes=211, hulls=402","magazines=240, airframes=159, hulls=8"
6,D+2h,اقتحام الشاطئ - المرحلة 1 (طلائع),strategic,R-d0-500-077: Held in reserve — preserving SSM magazine for H-hour saturation salvo per opening-day concentration doctrine.,"To maintain strategic strike capability for critical phases and ensure a decisive impact when Blue forces are most vulnerable. [refs: FM 3-09 §3-15, AJP-3.1 Ed B]",B-d0-99-000: Held position — preserving strategic strike capability for Red culmination per ADP 3-0.,Strategic assets are preserved for decisive engagement at Red's culmination.,"Red's initial beach assault faced significant resistance. Blue's mechanized infantry engaged Red's 4-MID, preventing a secure foothold. Red's MiG-29s were countered by Blue's F-16s, maintaining Blue's air superiority. Red's kamikaze UAVs were largely intercepted by Blue's UAVs, reducing their impact. Red's destroyers faced effective counteraction from Blue's corvettes, limiting naval gunfire support. The minefields remained a formidable obstacle, with Red's mine layers unable to establish effective defensive fields.","strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",26,"naval 6/6, air 19/19, ground 64/64",26,"magazines=384, airframes=206, hulls=400","magazines=240, airframes=156, hulls=8"
6,D+2h,اقتحام الشاطئ - المرحلة 1 (طلائع),maritime,R-d3-10-030: Deploy destroyers to provide naval gunfire support and protect landing craft from Blue's corvettes.,"To ensure safe passage for landing forces and provide fire support as per US Navy/Marine Corps amphibious doctrine. [refs: Doctrines.md §4, WarReferences.md §5]",B-d1-8-031: Deploy corvettes to intercept Red destroyers and protect minefields.,"Corvettes provide naval gunfire support and protect pre-laid mines per coastal defense doctrine. [refs: Doctrines.md — Coastal defense uses CDCM, coastal artillery, surveillance, and naval forces in concert.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",26,"naval 6/6, air 19/19, ground 64/64",26,"magazines=384, airframes=206, hulls=400","magazines=240, airframes=156, hulls=8"
6,D+2h,اقتحام الشاطئ - المرحلة 1 (طلائع),air,R-d3-11-049: Launch MiG-29 squadron to achieve air superiority over the landing zone.,To protect landing forces from Blue's air threats and maintain operational tempo. [refs: WarReferences.md §2],B-d2-3-048: Launch F-16 squadron to counter Red MiG-29s and maintain air superiority.,Achieving air superiority is critical to protect ground forces and disrupt Red's landing operations.,,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",26,"naval 6/6, air 19/19, ground 64/64",26,"magazines=384, airframes=206, hulls=400","magazines=240, airframes=156, hulls=8"
6,D+2h,اقتحام الشاطئ - المرحلة 1 (طلائع),mines,R-d3-10-034: Deploy mine layers to create defensive minefields protecting the landing zone from Blue naval counterattacks.,"To disrupt and block Blue's naval movements, securing the amphibious approach. [refs: Doctrines.md §3]","B-d1-4-035: Held position — coastal radars suppressed, preserving minefield integrity.",Preserving minefield integrity is crucial while coastal radars are suppressed. [refs: Doctrines.md — Blue's 400 sea mines + assumed beach minefields/obstacle belts are the centerpiece of defense.],,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",26,"naval 6/6, air 19/19, ground 64/64",26,"magazines=384, airframes=206, hulls=400","magazines=240, airframes=156, hulls=8"
6,D+2h,اقتحام الشاطئ - المرحلة 1 (طلائع),usv_uav,R-d3-16-067: Launch kamikaze UAVs to overwhelm Blue's air defense systems at the beachhead.,To saturate Blue's defenses and create openings for follow-on forces. [refs: Saturation strikes doctrine],B-d2-12-059: Launch UAVs to intercept and disrupt Red kamikaze UAVs.,Intercepting UAVs prevents them from overwhelming Blue's air defense systems.,,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",26,"naval 6/6, air 19/19, ground 64/64",26,"magazines=384, airframes=206, hulls=400","magazines=240, airframes=156, hulls=8"
6,D+2h,اقتحام الشاطئ - المرحلة 1 (طلائع),sof,R-d1-21-073: Conduct vertical envelopment by inserting behind Blue's beach defenses to disrupt C2.,"To exploit gaps and disrupt Blue's command and control, enhancing operational tempo. [refs: Vertical envelopment doctrine]",B-d1-506-025: Deploy chemical defense battalion to counter Red SOF disruption attempts.,Countering SOF attempts to disrupt C2 is essential to maintain operational effectiveness.,,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",26,"naval 6/6, air 19/19, ground 64/64",26,"magazines=384, airframes=206, hulls=400","magazines=240, airframes=156, hulls=8"
6,D+2h,اقتحام الشاطئ - المرحلة 1 (طلائع),land,R-d2-4-004: Commence landing operations with 4-MID to establish a foothold on the beach.,To mass at the decisive point and exploit Blue's defenses. [refs: Mass at the decisive point doctrine],B-d1-51-001: Engage Red 4-MID landing forces with mechanized infantry to prevent beachhead establishment.,"Engaging landing forces early prevents Red from establishing a foothold. [refs: Doctrines.md — Engagement areas, battle positions, obstacle plan tied to fires plan.]",,"strategic 1/1, naval 16/18, air 21/21, ground 40/40, sof 4/4",26,"naval 6/6, air 19/19, ground 64/64",26,"magazines=384, airframes=206, hulls=400","magazines=240, airframes=156, hulls=8"
